country,year,value,variable,GCM,SRES,iso
Russia,1971,9610.193446,HDD,CCSM3x,A2,rus
Canada,1971,8435.088929,HDD,CCSM3x,A2,can
United States,1971,4542.67659,HDD,CCSM3x,A2,usa
China,1971,4431.759746,HDD,CCSM3x,A2,chn
Brazil,1971,321.0355557,HDD,CCSM3x,A2,bra
Australia,1971,2149.477499,HDD,CCSM3x,A2,aus
India,1971,346.0033681,HDD,CCSM3x,A2,ind
Argentina,1971,2142.362333,HDD,CCSM3x,A2,arg
Kazakhstan,1971,8693.593993,HDD,CCSM3x,A2,kaz
Sudan,1971,17.38441999,HDD,CCSM3x,A2,sdn
Algeria,1971,2445.050665,HDD,CCSM3x,A2,dza
Congo DRC,1971,90.43625644,HDD,CCSM3x,A2,cod
Indonesia,1971,0,HDD,CCSM3x,A2,idn
Mexico,1971,1439.251254,HDD,CCSM3x,A2,mex
Saudi Arabia,1971,392.3108053,HDD,CCSM3x,A2,sau
Libya,1971,1245.489765,HDD,CCSM3x,A2,lby
Iran,1971,4196.908629,HDD,CCSM3x,A2,irn
Mongolia,1971,13366.75556,HDD,CCSM3x,A2,mng
Peru,1971,2752.892775,HDD,CCSM3x,A2,per
Chad,1971,7.318567425,HDD,CCSM3x,A2,tcd
Angola,1971,113.4632583,HDD,CCSM3x,A2,ago
Mali,1971,1.83349531,HDD,CCSM3x,A2,mli
South Africa,1971,1532.699079,HDD,CCSM3x,A2,zaf
Niger,1971,8.588405036,HDD,CCSM3x,A2,ner
Colombia,1971,1017.834726,HDD,CCSM3x,A2,col
Ethiopia,1971,671.1787923,HDD,CCSM3x,A2,eth
Bolivia,1971,3504.824492,HDD,CCSM3x,A2,bol
Mauritania,1971,7.987374148,HDD,CCSM3x,A2,mrt
Egypt,1971,917.5980884,HDD,CCSM3x,A2,egy
Venezuela,1971,11.89119819,HDD,CCSM3x,A2,ven
Nigeria,1971,0.887402313,HDD,CCSM3x,A2,nga
Tanzania,1971,67.73229637,HDD,CCSM3x,A2,tza
Namibia,1971,717.6150664,HDD,CCSM3x,A2,nam
Chile,1971,5212.500568,HDD,CCSM3x,A2,chl
Pakistan,1971,1171.536965,HDD,CCSM3x,A2,pak
Turkey,1971,3632.102617,HDD,CCSM3x,A2,tur
Mozambique,1971,46.21736119,HDD,CCSM3x,A2,moz
Zambia,1971,244.2831968,HDD,CCSM3x,A2,zmb
Myanmar,1971,96.89035013,HDD,CCSM3x,A2,mmr
Morocco,1971,2076.10079,HDD,CCSM3x,A2,mar
Somalia,1971,5.04285111,HDD,CCSM3x,A2,som
Afghanistan,1971,5660.626888,HDD,CCSM3x,A2,afg
Central African Republic,1971,0.174016125,HDD,CCSM3x,A2,caf
Madagascar,1971,430.8252411,HDD,CCSM3x,A2,mdg
Ukraine,1971,6854.917821,HDD,CCSM3x,A2,ukr
Kenya,1971,434.3141297,HDD,CCSM3x,A2,ken
