iso,country_name,region_GCAM3,GCAM_region_ID,GCAM_region
abw,Aruba,Latin America,9,Central America and Caribbean
afg,Afghanistan,Southeast Asia,27,South Asia
ago,Angola,Africa,4,Africa_Southern
aia,Anguilla,Latin America,9,Central America and Caribbean
alb,Albania,Eastern Europe,15,Europe_Non_EU
and,Andorra,Western Europe,13,EU-15
ant,Netherlands Antilles,Latin America,9,Central America and Caribbean
are,United Arab Emirates,Middle East,21,Middle East
arg,Argentina,Latin America,31,Argentina
arm,Armenia,Former Soviet Union,10,Central Asia
asm,American Samoa,Southeast Asia,29,Southeast Asia
atg,Antigua &#38; Barbuda,Latin America,9,Central America and Caribbean
aus,Australia,Australia_NZ,6,Australia_NZ
aut,Austria,Western Europe,13,EU-15
aze,Azerbaijan,Former Soviet Union,10,Central Asia
bdi,Burundi,Africa,2,Africa_Eastern
bel,Belgium,Western Europe,13,EU-15
ben,Benin,Africa,5,Africa_Western
bfa,Burkina Faso,Africa,5,Africa_Western
bgd,Bangladesh,Southeast Asia,27,South Asia
bgr,Bulgaria,Eastern Europe,12,EU-12
bhr,Bahrain,Middle East,21,Middle East
bhs,Bahamas,Latin America,9,Central America and Caribbean
bih,Bosnia and Herzegovina,Eastern Europe,15,Europe_Non_EU
blr,Belarus,Former Soviet Union,14,Europe_Eastern
blz,Belize,Latin America,9,Central America and Caribbean
bmu,Bermuda,Western Europe,9,Central America and Caribbean
bol,Bolivia,Latin America,26,South America_Southern
bra,Brazil,Latin America,7,Brazil
brb,Barbados,Latin America,9,Central America and Caribbean
brn,Brunei Darussalam,Southeast Asia,29,Southeast Asia
btn,Bhutan,Southeast Asia,27,South Asia
bwa,Botswana,Africa,4,Africa_Southern
caf,Central African Republic,Africa,5,Africa_Western
can,Canada,Canada,8,Canada
cck,Cocos (Keeling) Islands,Southeast Asia,29,Southeast Asia
che,Switzerland,Western Europe,16,European Free Trade Association
chi,Channel Islands,Western Europe,13,EU-15
chl,Chile,Latin America,26,South America_Southern
chn,China,China,11,China
civ,Cote dIvoire,Africa,5,Africa_Western
cmr,Cameroon,Africa,5,Africa_Western
cod,"Congo, the Democratic Republic of the",Africa,5,Africa_Western
cog,Congo,Africa,5,Africa_Western
cok,Cook Islands,Australia_NZ,29,Southeast Asia
col,Colombia,Latin America,32,Colombia
com,Comoros,Africa,2,Africa_Eastern
cpv,Cape Verde,Africa,5,Africa_Western
cri,Costa Rica,Latin America,9,Central America and Caribbean
cub,Cuba,Latin America,9,Central America and Caribbean
cuw,Curacao,Latin America,9,Central America and Caribbean
cym,Cayman Islands,Latin America,9,Central America and Caribbean
cyp,Cyprus,Western Europe,12,EU-12
cxr,Christmas Island,Southeast Asia,29,Southeast Asia
