iso,country,bias.adder,HIA
afg,Afghanistan,437.6502518,dalys
ago,Angola,1057.040972,dalys
alb,Albania,509.312622,dalys
are,United Arab Emirates,-1184.083181,dalys
arg,Argentina,-25.51192187,dalys
arm,Armenia,-151.2372775,dalys
aus,Australia,-1.235336364,dalys
aut,Austria,-1.510329067,dalys
aze,Azerbaijan,-126.7422504,dalys
bdi,Burundi,3490.393772,dalys
bel,Belgium,-54.36087707,dalys
ben,Benin,5059.447089,dalys
bfa,Burkina Faso,3133.597677,dalys
bgd,Bangladesh,1176.292518,dalys
bgr,Bulgaria,-531.925111,dalys
bih,Bosnia and Herzegovina,-86.71058193,dalys
blr,Belarus,-264.2667533,dalys
bol,Bolivia (Plurinational State of),193.6172256,dalys
bra,Brazil,-5593.030615,dalys
bwa,Botswana,-6250.828777,dalys
caf,Central African Republic,8014.271096,dalys
can,Canada,-2963.298379,dalys
che,Switzerland,-2060.243357,dalys
chl,Chile,45.27025775,dalys
chn,China,-9434.051469,dalys
civ,C&#244;te d'Ivoire,397.3676743,dalys
cmr,Cameroon,2572.135518,dalys
cod,Democratic Republic of the Congo,2885.132143,dalys
cog,Congo,1078.849014,dalys
col,Colombia,-3602.582523,dalys
com,Comoros,566.6467227,dalys
cpv,Cabo Verde,459.4710142,dalys
cri,Costa Rica,-2915.055237,dalys
cub,Cuba,-104.4180286,dalys
cyp,Cyprus,-32.37525355,dalys
cze,Czechia,13.65503539,dalys
deu,Germany,-17.65761024,dalys
dji,Djibouti,-2465.148248,dalys
dnk,Denmark,-3232.539054,dalys
dom,Dominican Republic,271.9684161,dalys
dza,Algeria,-1093.067816,dalys
ecu,Ecuador,-171.7685525,dalys
egy,Egypt,-121.8898997,dalys
esp,Spain,-3.102519814,dalys
est,Estonia,-328.2664186,dalys
eth,Ethiopia,2239.863204,dalys
fin,Finland,-133.0775951,dalys
fra,France,-1604.525535,dalys
gab,Gabon,-2979.813908,dalys
gbr,United Kingdom,-2.058617849,dalys
geo,Georgia,965.3330043,dalys
gha,Ghana,1166.309887,dalys
gin,Guinea,3086.192753,dalys
gmb,Gambia,2075.36665,dalys
gnb,Guinea-Bissau,4495.716024,dalys
gnq,Equatorial Guinea,-762.4739175,dalys
grc,Greece,-6.804875826,dalys
gtm,Guatemala,-1025.045599,dalys
hnd,Honduras,-3261.053072,dalys
hrv,Croatia,-4918.943364,dalys
hti,Haiti,-988.5380612,dalys
